TID: 00878a19fa7f0000, SID: 0, DID: 0, CID: 0, time stamp: 84, AID: 0, The ship created
TID: 00077f08fa7f0000, SID: 26, DID: 0, CID: 0, time stamp: 1020, AID: 0, The ship created
TID: 00f7fe07fa7f0000, SID: 27, DID: 0, CID: 0, time stamp: 1043, AID: 0, The ship created
TID: 00e77e07fa7f0000, SID: 28, DID: 0, CID: 0, time stamp: 1059, AID: 0, The ship created
TID: 00d7fe06fa7f0000, SID: 29, DID: 0, CID: 0, time stamp: 1080, AID: 0, The ship created
TID: 00c77e06fa7f0000, SID: 30, DID: 0, CID: 0, time stamp: 1101, AID: 0, The ship created
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 0, time stamp: 1124, AID: 1, The ship requested permission to dock
TID: 00b7fe05fa7f0000, SID: 31, DID: 0, CID: 0, time stamp: 1127, AID: 0, The ship created
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 0, time stamp: 1136, AID: 2, The ship docked
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 0, time stamp: 1153, AID: 5, The ship requested permission to load cargo from the dock
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 961, time stamp: 1158, AID: 6, The ship loading cargo from the dock
TID: 0097fe04fa7f0000, SID: 33, DID: 0, CID: 0, time stamp: 1166, AID: 0, The ship created
TID: 00a77e05fa7f0000, SID: 32, DID: 0, CID: 0, time stamp: 1176, AID: 0, The ship created
TID: 00877e04fa7f0000, SID: 34, DID: 0, CID: 0, time stamp: 1186, AID: 0, The ship created
TID: 0077fe03fa7f0000, SID: 35, DID: 0, CID: 0, time stamp: 1207, AID: 0, The ship created
TID: 00677e03fa7f0000, SID: 36, DID: 0, CID: 0, time stamp: 1226, AID: 0, The ship created
TID: 0057fe02fa7f0000, SID: 37, DID: 0, CID: 0, time stamp: 1249, AID: 0, The ship created
TID: 00477e02fa7f0000, SID: 38, DID: 0, CID: 0, time stamp: 1271, AID: 0, The ship created
TID: 0037fe01fa7f0000, SID: 39, DID: 0, CID: 0, time stamp: 1294, AID: 0, The ship created
TID: 00277e01fa7f0000, SID: 40, DID: 0, CID: 0, time stamp: 1316, AID: 0, The ship created
TID: 0017fe00fa7f0000, SID: 41, DID: 0, CID: 0, time stamp: 1335, AID: 0, The ship created
TID: 00f7fdfff97f0000, SID: 43, DID: 0, CID: 0, time stamp: 1383, AID: 0, The ship created
TID: 00077e00fa7f0000, SID: 42, DID: 0, CID: 0, time stamp: 1358, AID: 0, The ship created
TID: 00e77dfff97f0000, SID: 44, DID: 0, CID: 0, time stamp: 1404, AID: 0, The ship created
TID: 00d7fdfef97f0000, SID: 45, DID: 0, CID: 0, time stamp: 1425, AID: 0, The ship created
TID: 00c77dfef97f0000, SID: 46, DID: 0, CID: 0, time stamp: 1444, AID: 0, The ship created
TID: 00b7fdfdf97f0000, SID: 47, DID: 0, CID: 0, time stamp: 1464, AID: 0, The ship created
TID: 00a77dfdf97f0000, SID: 48, DID: 0, CID: 0, time stamp: 1485, AID: 0, The ship created
TID: 0097fdfcf97f0000, SID: 49, DID: 0, CID: 0, time stamp: 1517, AID: 0, The ship created
TID: 00877dfcf97f0000, SID: 50, DID: 0, CID: 0, time stamp: 1528, AID: 0, The ship created
TID: 0077fdfbf97f0000, SID: 51, DID: 0, CID: 0, time stamp: 1548, AID: 0, The ship created
TID: 00677dfbf97f0000, SID: 52, DID: 0, CID: 0, time stamp: 1570, AID: 0, The ship created
TID: 0057fdfaf97f0000, SID: 53, DID: 0, CID: 0, time stamp: 1589, AID: 0, The ship created
TID: 00477dfaf97f0000, SID: 54, DID: 0, CID: 0, time stamp: 1614, AID: 0, The ship created
TID: 0037fdf9f97f0000, SID: 55, DID: 0, CID: 0, time stamp: 1641, AID: 0, The ship created
TID: 00277df9f97f0000, SID: 56, DID: 0, CID: 0, time stamp: 1662, AID: 0, The ship created
TID: 0017fdf8f97f0000, SID: 57, DID: 0, CID: 0, time stamp: 1682, AID: 0, The ship created
TID: 00077df8f97f0000, SID: 58, DID: 0, CID: 0, time stamp: 1704, AID: 0, The ship created
TID: 00f7fcf7f97f0000, SID: 59, DID: 0, CID: 0, time stamp: 1724, AID: 0, The ship created
TID: 00e77cf7f97f0000, SID: 60, DID: 0, CID: 0, time stamp: 1745, AID: 0, The ship created
TID: 00d7fcf6f97f0000, SID: 61, DID: 0, CID: 0, time stamp: 1766, AID: 0, The ship created
TID: 00c77cf6f97f0000, SID: 62, DID: 0, CID: 0, time stamp: 1791, AID: 0, The ship created
TID: 00b7fcf5f97f0000, SID: 63, DID: 0, CID: 0, time stamp: 1810, AID: 0, The ship created
TID: 00a77cf5f97f0000, SID: 64, DID: 0, CID: 0, time stamp: 1831, AID: 0, The ship created
TID: 0097fcf4f97f0000, SID: 65, DID: 0, CID: 0, time stamp: 1854, AID: 0, The ship created
TID: 00877cf4f97f0000, SID: 66, DID: 0, CID: 0, time stamp: 1886, AID: 0, The ship created
TID: 0077fcf3f97f0000, SID: 67, DID: 0, CID: 0, time stamp: 1892, AID: 0, The ship created
TID: 00677cf3f97f0000, SID: 68, DID: 0, CID: 0, time stamp: 1933, AID: 0, The ship created
TID: 0057fcf2f97f0000, SID: 69, DID: 0, CID: 0, time stamp: 1940, AID: 0, The ship created
TID: 00477cf2f97f0000, SID: 70, DID: 0, CID: 0, time stamp: 1959, AID: 0, The ship created
TID: 0037fcf1f97f0000, SID: 71, DID: 0, CID: 0, time stamp: 1982, AID: 0, The ship created
TID: 00277cf1f97f0000, SID: 72, DID: 0, CID: 0, time stamp: 2004, AID: 0, The ship created
TID: 0017fcf0f97f0000, SID: 73, DID: 0, CID: 0, time stamp: 2024, AID: 0, The ship created
TID: 00077cf0f97f0000, SID: 74, DID: 0, CID: 0, time stamp: 2047, AID: 0, The ship created
TID: 00f7fbeff97f0000, SID: 75, DID: 0, CID: 0, time stamp: 2069, AID: 0, The ship created
TID: 00e77beff97f0000, SID: 76, DID: 0, CID: 0, time stamp: 2102, AID: 0, The ship created
TID: 00d7fbeef97f0000, SID: 77, DID: 0, CID: 0, time stamp: 2109, AID: 0, The ship created
TID: 00c77beef97f0000, SID: 78, DID: 0, CID: 0, time stamp: 2130, AID: 0, The ship created
TID: 00b7fbedf97f0000, SID: 79, DID: 0, CID: 0, time stamp: 2152, AID: 0, The ship created
TID: 00a77bedf97f0000, SID: 80, DID: 0, CID: 0, time stamp: 2177, AID: 0, The ship created
TID: 0097fbecf97f0000, SID: 81, DID: 0, CID: 0, time stamp: 2197, AID: 0, The ship created
TID: 00877becf97f0000, SID: 82, DID: 0, CID: 0, time stamp: 2216, AID: 0, The ship created
TID: 0077fbebf97f0000, SID: 83, DID: 0, CID: 0, time stamp: 2235, AID: 0, The ship created
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 0, time stamp: 2258, AID: 0, The ship created
TID: 0057fbeaf97f0000, SID: 85, DID: 0, CID: 0, time stamp: 2283, AID: 0, The ship created
TID: 00477beaf97f0000, SID: 86, DID: 0, CID: 0, time stamp: 2308, AID: 0, The ship created
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 0, time stamp: 2356, AID: 1, The ship requested permission to dock
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 0, time stamp: 2366, AID: 2, The ship docked
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 0, time stamp: 2370, AID: 5, The ship requested permission to load cargo from the dock
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 998, time stamp: 2373, AID: 6, The ship loading cargo from the dock
TID: 0037fbe9f97f0000, SID: 87, DID: 0, CID: 0, time stamp: 2375, AID: 0, The ship created
TID: 00277be9f97f0000, SID: 88, DID: 0, CID: 0, time stamp: 2408, AID: 0, The ship created
TID: 0017fbe8f97f0000, SID: 89, DID: 0, CID: 0, time stamp: 2443, AID: 0, The ship created
TID: 00077be8f97f0000, SID: 90, DID: 0, CID: 0, time stamp: 2468, AID: 0, The ship created
TID: 00f7fae7f97f0000, SID: 91, DID: 0, CID: 0, time stamp: 2487, AID: 0, The ship created
TID: 00e77ae7f97f0000, SID: 92, DID: 0, CID: 0, time stamp: 2509, AID: 0, The ship created
TID: 00d7fae6f97f0000, SID: 93, DID: 0, CID: 0, time stamp: 2534, AID: 0, The ship created
TID: 00c77ae6f97f0000, SID: 94, DID: 0, CID: 0, time stamp: 2553, AID: 0, The ship created
TID: 00b7fae5f97f0000, SID: 95, DID: 0, CID: 0, time stamp: 2573, AID: 0, The ship created
TID: 00a77ae5f97f0000, SID: 96, DID: 0, CID: 0, time stamp: 2592, AID: 0, The ship created
TID: 0097fae4f97f0000, SID: 97, DID: 0, CID: 0, time stamp: 2612, AID: 0, The ship created
TID: 00877ae4f97f0000, SID: 98, DID: 0, CID: 0, time stamp: 2633, AID: 0, The ship created
TID: 0077fae3f97f0000, SID: 99, DID: 0, CID: 0, time stamp: 2666, AID: 0, The ship created
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 956, time stamp: 4258, AID: 6, The ship loading cargo from the dock
TID: 00b7fae5f97f0000, SID: 95, DID: 4, CID: 0, time stamp: 5061, AID: 1, The ship requested permission to dock
TID: 00b7fae5f97f0000, SID: 95, DID: 4, CID: 0, time stamp: 5066, AID: 2, The ship docked
TID: 00b7fae5f97f0000, SID: 95, DID: 4, CID: 0, time stamp: 5069, AID: 5, The ship requested permission to load cargo from the dock
TID: 00b7fae5f97f0000, SID: 95, DID: 4, CID: 990, time stamp: 5073, AID: 6, The ship loading cargo from the dock
TID: 00878a19fa7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5083, AID: 1, The ship requested permission to dock
TID: 00878a19fa7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5095, AID: 2, The ship docked
TID: 00878a19fa7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5102, AID: 5, The ship requested permission to load cargo from the dock
TID: 00878a19fa7f0000, SID: 0, DID: 4, CID: 999, time stamp: 5108, AID: 6, The ship loading cargo from the dock
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 996, time stamp: 5491, AID: 6, The ship loading cargo from the dock
TID: 0057fe02fa7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6060, AID: 1, The ship requested permission to dock
TID: 0057fe02fa7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6065, AID: 2, The ship docked
TID: 0057fe02fa7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6068, AID: 5, The ship requested permission to load cargo from the dock
TID: 0057fe02fa7f0000, SID: 37, DID: 2, CID: 997, time stamp: 6072, AID: 6, The ship loading cargo from the dock
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7060, AID: 1, The ship requested permission to dock
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7065, AID: 2, The ship docked
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7067, AID: 5, The ship requested permission to load cargo from the dock
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 991, time stamp: 7071, AID: 6, The ship loading cargo from the dock
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 924, time stamp: 7338, AID: 6, The ship loading cargo from the dock
TID: 00b7fae5f97f0000, SID: 95, DID: 4, CID: 975, time stamp: 8158, AID: 6, The ship loading cargo from the dock
TID: 00878a19fa7f0000, SID: 0, DID: 4, CID: 983, time stamp: 8212, AID: 6, The ship loading cargo from the dock
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 988, time stamp: 8593, AID: 6, The ship loading cargo from the dock
TID: 00077be8f97f0000, SID: 90, DID: 4, CID: 0, time stamp: 9063, AID: 1, The ship requested permission to dock
TID: 00077be8f97f0000, SID: 90, DID: 4, CID: 0, time stamp: 9074, AID: 2, The ship docked
TID: 00077be8f97f0000, SID: 90, DID: 4, CID: 0, time stamp: 9085, AID: 5, The ship requested permission to load cargo from the dock
TID: 00077be8f97f0000, SID: 90, DID: 4, CID: 970, time stamp: 9092, AID: 6, The ship loading cargo from the dock
TID: 00477f0afa7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9075, AID: 1, The ship requested permission to dock
TID: 00477f0afa7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9118, AID: 2, The ship docked
TID: 0097fe04fa7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9067, AID: 1, The ship requested permission to dock
TID: 0097fe04fa7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9137, AID: 2, The ship docked
TID: 0097fe04fa7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9143, AID: 5, The ship requested permission to load cargo from the dock
TID: 0097fe04fa7f0000, SID: 33, DID: 3, CID: 995, time stamp: 9148, AID: 6, The ship loading cargo from the dock
TID: 00477f0afa7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9131, AID: 5, The ship requested permission to load cargo from the dock
TID: 00477f0afa7f0000, SID: 22, DID: 2, CID: 977, time stamp: 9163, AID: 6, The ship loading cargo from the dock
TID: 0057fe02fa7f0000, SID: 37, DID: 2, CID: 994, time stamp: 9200, AID: 6, The ship loading cargo from the dock
TID: 00e77ae7f97f0000, SID: 92, DID: 3, CID: 0, time stamp: 10062, AID: 1, The ship requested permission to dock
TID: 00e77ae7f97f0000, SID: 92, DID: 3, CID: 0, time stamp: 10067, AID: 2, The ship docked
TID: 00e77ae7f97f0000, SID: 92, DID: 3, CID: 0, time stamp: 10070, AID: 5, The ship requested permission to load cargo from the dock
TID: 00e77ae7f97f0000, SID: 92, DID: 3, CID: 946, time stamp: 10073, AID: 6, The ship loading cargo from the dock
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 981, time stamp: 10145, AID: 6, The ship loading cargo from the dock
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 910, time stamp: 10425, AID: 6, The ship loading cargo from the dock
TID: 00a77cf5f97f0000, SID: 64, DID: 1, CID: 0, time stamp: 11061, AID: 1, The ship requested permission to dock
TID: 00a77cf5f97f0000, SID: 64, DID: 1, CID: 0, time stamp: 11066, AID: 2, The ship docked
TID: 00a77cf5f97f0000, SID: 64, DID: 1, CID: 0, time stamp: 11069, AID: 5, The ship requested permission to load cargo from the dock
TID: 00a77cf5f97f0000, SID: 64, DID: 1, CID: 985, time stamp: 11072, AID: 6, The ship loading cargo from the dock
TID: 0037ff09fa7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11081, AID: 1, The ship requested permission to dock
TID: 0037ff09fa7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11100, AID: 2, The ship docked
TID: 0037ff09fa7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11112, AID: 5, The ship requested permission to load cargo from the dock
TID: 0037ff09fa7f0000, SID: 23, DID: 1, CID: 987, time stamp: 11121, AID: 6, The ship loading cargo from the dock
TID: 0017fcf0f97f0000, SID: 73, DID: 4, CID: 0, time stamp: 11081, AID: 1, The ship requested permission to dock
TID: 0017fcf0f97f0000, SID: 73, DID: 4, CID: 0, time stamp: 11143, AID: 2, The ship docked
TID: 0017fcf0f97f0000, SID: 73, DID: 4, CID: 0, time stamp: 11148, AID: 5, The ship requested permission to load cargo from the dock
TID: 0017fcf0f97f0000, SID: 73, DID: 4, CID: 964, time stamp: 11152, AID: 6, The ship loading cargo from the dock
TID: 00b7fae5f97f0000, SID: 95, DID: 4, CID: 967, time stamp: 11220, AID: 6, The ship loading cargo from the dock
TID: 00878a19fa7f0000, SID: 0, DID: 4, CID: 963, time stamp: 11329, AID: 6, The ship loading cargo from the dock
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 973, time stamp: 11664, AID: 6, The ship loading cargo from the dock
TID: 0037fdf9f97f0000, SID: 55, DID: 0, CID: 0, time stamp: 12063, AID: 1, The ship requested permission to dock
TID: 0037fdf9f97f0000, SID: 55, DID: 0, CID: 0, time stamp: 12070, AID: 2, The ship docked
TID: 0037fdf9f97f0000, SID: 55, DID: 0, CID: 0, time stamp: 12106, AID: 5, The ship requested permission to load cargo from the dock
TID: 0037fdf9f97f0000, SID: 55, DID: 0, CID: 965, time stamp: 12111, AID: 6, The ship loading cargo from the dock
TID: 00077be8f97f0000, SID: 90, DID: 4, CID: 947, time stamp: 12184, AID: 6, The ship loading cargo from the dock
TID: 0097fe04fa7f0000, SID: 33, DID: 3, CID: 986, time stamp: 12230, AID: 6, The ship loading cargo from the dock
TID: 0057fe02fa7f0000, SID: 37, DID: 2, CID: 993, time stamp: 12290, AID: 6, The ship loading cargo from the dock
TID: 00477f0afa7f0000, SID: 22, DID: 2, CID: 966, time stamp: 12369, AID: 6, The ship loading cargo from the dock
TID: 0097fdfcf97f0000, SID: 49, DID: 4, CID: 0, time stamp: 13075, AID: 1, The ship requested permission to dock
TID: 0097fdfcf97f0000, SID: 49, DID: 4, CID: 0, time stamp: 13085, AID: 2, The ship docked
TID: 0077ff0bfa7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13087, AID: 1, The ship requested permission to dock
TID: 0077ff0bfa7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13105, AID: 2, The ship docked
TID: 0077ff0bfa7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13110, AID: 5, The ship requested permission to load cargo from the dock
TID: 0077ff0bfa7f0000, SID: 19, DID: 2, CID: 962, time stamp: 13118, AID: 6, The ship loading cargo from the dock
TID: 0097fdfcf97f0000, SID: 49, DID: 4, CID: 0, time stamp: 13091, AID: 5, The ship requested permission to load cargo from the dock
TID: 0097fdfcf97f0000, SID: 49, DID: 4, CID: 959, time stamp: 13134, AID: 6, The ship loading cargo from the dock
TID: 00e77ae7f97f0000, SID: 92, DID: 3, CID: 931, time stamp: 13163, AID: 6, The ship loading cargo from the dock
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 958, time stamp: 13209, AID: 6, The ship loading cargo from the dock
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 883, time stamp: 13506, AID: 6, The ship loading cargo from the dock
TID: 00a77cf5f97f0000, SID: 64, DID: 1, CID: 984, time stamp: 14161, AID: 6, The ship loading cargo from the dock
TID: 0037ff09fa7f0000, SID: 23, DID: 1, CID: 972, time stamp: 14233, AID: 6, The ship loading cargo from the dock
TID: 0017fcf0f97f0000, SID: 73, DID: 4, CID: 934, time stamp: 14269, AID: 6, The ship loading cargo from the dock
TID: 00b7fae5f97f0000, SID: 95, DID: 4, CID: 914, time stamp: 14287, AID: 6, The ship loading cargo from the dock
TID: 00878a19fa7f0000, SID: 0, DID: 4, CID: 929, time stamp: 14416, AID: 6, The ship loading cargo from the dock
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 950, time stamp: 14747, AID: 6, The ship loading cargo from the dock
TID: 0037fdf9f97f0000, SID: 55, DID: 0, CID: 942, time stamp: 15189, AID: 6, The ship loading cargo from the dock
TID: 00077be8f97f0000, SID: 90, DID: 4, CID: 915, time stamp: 15249, AID: 6, The ship loading cargo from the dock
TID: 0097fe04fa7f0000, SID: 33, DID: 3, CID: 978, time stamp: 15297, AID: 6, The ship loading cargo from the dock
TID: 0057fe02fa7f0000, SID: 37, DID: 2, CID: 992, time stamp: 15354, AID: 6, The ship loading cargo from the dock
TID: 00477f0afa7f0000, SID: 22, DID: 2, CID: 953, time stamp: 15445, AID: 6, The ship loading cargo from the dock
TID: 00a77dfdf97f0000, SID: 48, DID: 1, CID: 0, time stamp: 16029, AID: 1, The ship requested permission to dock
TID: 00a77dfdf97f0000, SID: 48, DID: 1, CID: 0, time stamp: 16036, AID: 2, The ship docked
TID: 00a77dfdf97f0000, SID: 48, DID: 1, CID: 0, time stamp: 16039, AID: 5, The ship requested permission to load cargo from the dock
TID: 00a77dfdf97f0000, SID: 48, DID: 1, CID: 982, time stamp: 16043, AID: 6, The ship loading cargo from the dock
TID: 0077ff0bfa7f0000, SID: 19, DID: 2, CID: 926, time stamp: 16229, AID: 6, The ship loading cargo from the dock
TID: 00e77ae7f97f0000, SID: 92, DID: 3, CID: 909, time stamp: 16235, AID: 6, The ship loading cargo from the dock
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 939, time stamp: 16237, AID: 6, The ship loading cargo from the dock
TID: 0097fdfcf97f0000, SID: 49, DID: 4, CID: 921, time stamp: 16265, AID: 6, The ship loading cargo from the dock
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 880, time stamp: 16591, AID: 6, The ship loading cargo from the dock
TID: 00c77ae6f97f0000, SID: 94, DID: 1, CID: 0, time stamp: 17061, AID: 1, The ship requested permission to dock
TID: 00c77ae6f97f0000, SID: 94, DID: 1, CID: 0, time stamp: 17066, AID: 2, The ship docked
TID: 00c77ae6f97f0000, SID: 94, DID: 1, CID: 0, time stamp: 17069, AID: 5, The ship requested permission to load cargo from the dock
TID: 00c77ae6f97f0000, SID: 94, DID: 1, CID: 980, time stamp: 17073, AID: 6, The ship loading cargo from the dock
TID: 00077cf0f97f0000, SID: 74, DID: 2, CID: 0, time stamp: 17077, AID: 1, The ship requested permission to dock
TID: 00077cf0f97f0000, SID: 74, DID: 2, CID: 0, time stamp: 17094, AID: 2, The ship docked
TID: 00077cf0f97f0000, SID: 74, DID: 2, CID: 0, time stamp: 17101, AID: 5, The ship requested permission to load cargo from the dock
TID: 00077cf0f97f0000, SID: 74, DID: 2, CID: 989, time stamp: 17106, AID: 6, The ship loading cargo from the dock
TID: 00277cf1f97f0000, SID: 72, DID: 0, CID: 0, time stamp: 17085, AID: 1, The ship requested permission to dock
TID: 00277cf1f97f0000, SID: 72, DID: 0, CID: 0, time stamp: 17117, AID: 2, The ship docked
TID: 00277cf1f97f0000, SID: 72, DID: 0, CID: 0, time stamp: 17121, AID: 5, The ship requested permission to load cargo from the dock
TID: 00277cf1f97f0000, SID: 72, DID: 0, CID: 844, time stamp: 17127, AID: 6, The ship loading cargo from the dock
TID: 00a77cf5f97f0000, SID: 64, DID: 1, CID: 976, time stamp: 17225, AID: 6, The ship loading cargo from the dock
TID: 0037ff09fa7f0000, SID: 23, DID: 1, CID: 952, time stamp: 17307, AID: 6, The ship loading cargo from the dock
TID: 0017fcf0f97f0000, SID: 73, DID: 4, CID: 913, time stamp: 17337, AID: 6, The ship loading cargo from the dock
TID: 00b7fae5f97f0000, SID: 95, DID: 4, CID: 887, time stamp: 17350, AID: 6, The ship loading cargo from the dock
TID: 00878a19fa7f0000, SID: 0, DID: 4, CID: 904, time stamp: 17485, AID: 6, The ship loading cargo from the dock
TID: 00677bebf97f0000, SID: 84, DID: 0, CID: 935, time stamp: 17810, AID: 6, The ship loading cargo from the dock
TID: 00b7ff0dfa7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18069, AID: 1, The ship requested permission to dock
TID: 00b7ff0dfa7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18079, AID: 2, The ship docked
TID: 00b7ff0dfa7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18084, AID: 5, The ship requested permission to load cargo from the dock
TID: 00b7ff0dfa7f0000, SID: 15, DID: 1, CID: 955, time stamp: 18088, AID: 6, The ship loading cargo from the dock
TID: 0037fdf9f97f0000, SID: 55, DID: 0, CID: 920, time stamp: 18255, AID: 6, The ship loading cargo from the dock
TID: 00077be8f97f0000, SID: 90, DID: 4, CID: 872, time stamp: 18311, AID: 6, The ship loading cargo from the dock
TID: 0097fe04fa7f0000, SID: 33, DID: 3, CID: 944, time stamp: 18360, AID: 6, The ship loading cargo from the dock
TID: 0057fe02fa7f0000, SID: 37, DID: 2, CID: 979, time stamp: 18416, AID: 6, The ship loading cargo from the dock
TID: 00477f0afa7f0000, SID: 22, DID: 2, CID: 881, time stamp: 18521, AID: 6, The ship loading cargo from the dock
TID: 00370a17fa7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19062, AID: 1, The ship requested permission to dock
TID: 00370a17fa7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19067, AID: 2, The ship docked
TID: 00370a17fa7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19070, AID: 5, The ship requested permission to load cargo from the dock
TID: 00370a17fa7f0000, SID: 6, DID: 4, CID: 888, time stamp: 19075, AID: 6, The ship loading cargo from the dock
TID: 00a77dfdf97f0000, SID: 48, DID: 1, CID: 960, time stamp: 19138, AID: 6, The ship loading cargo from the dock
TID: 0077ff0bfa7f0000, SID: 19, DID: 2, CID: 862, time stamp: 19301, AID: 6, The ship loading cargo from the dock
TID: 00e77ae7f97f0000, SID: 92, DID: 3, CID: 905, time stamp: 19309, AID: 6, The ship loading cargo from the dock
TID: 0097ff0cfa7f0000, SID: 17, DID: 0, CID: 916, time stamp: 19319, AID: 6, The ship loading cargo from the dock
TID: 0097fdfcf97f0000, SID: 49, DID: 4, CID: 868, time stamp: 19395, AID: 6, The ship loading cargo from the dock
TID: 00e77e07fa7f0000, SID: 28, DID: 4, CID: 859, time stamp: 19675, AID: 6, The ship loading cargo from the dock
TID: 00c77ae6f97f0000, SID: 94, DID: 1, CID: 957, time stamp: 20155, AID: 6, The ship loading cargo from the dock
