TID: 0067f23f1a7f0000, SID: 28, DID: 0, CID: 0, time stamp: 72, AID: 0, The ship created
TID: 00277e291a7f0000, SID: 29, DID: 0, CID: 0, time stamp: 1049, AID: 0, The ship created
TID: 0017fe281a7f0000, SID: 26, DID: 0, CID: 0, time stamp: 1064, AID: 0, The ship created
TID: 00077e281a7f0000, SID: 27, DID: 0, CID: 0, time stamp: 1078, AID: 0, The ship created
TID: 00f7fd271a7f0000, SID: 67, DID: 0, CID: 0, time stamp: 1093, AID: 0, The ship created
TID: 00e77d271a7f0000, SID: 63, DID: 0, CID: 0, time stamp: 1107, AID: 0, The ship created
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 0, time stamp: 1112, AID: 1, The ship requested permission to dock
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 0, time stamp: 1116, AID: 2, The ship docked
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 0, time stamp: 1120, AID: 5, The ship requested permission to load cargo from the dock
TID: 00d7fd261a7f0000, SID: 66, DID: 0, CID: 0, time stamp: 1122, AID: 0, The ship created
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 21, time stamp: 1125, AID: 6, The ship loading cargo from the dock
TID: 00b7fd251a7f0000, SID: 93, DID: 0, CID: 0, time stamp: 1168, AID: 0, The ship created
TID: 00a77d251a7f0000, SID: 32, DID: 0, CID: 0, time stamp: 1176, AID: 0, The ship created
TID: 0097fd241a7f0000, SID: 42, DID: 0, CID: 0, time stamp: 1188, AID: 0, The ship created
TID: 00c77d261a7f0000, SID: 98, DID: 0, CID: 0, time stamp: 1165, AID: 0, The ship created
TID: 00877d241a7f0000, SID: 91, DID: 0, CID: 0, time stamp: 1203, AID: 0, The ship created
TID: 0077fd231a7f0000, SID: 45, DID: 0, CID: 0, time stamp: 1226, AID: 0, The ship created
TID: 00677d231a7f0000, SID: 16, DID: 0, CID: 0, time stamp: 1236, AID: 0, The ship created
TID: 0057fd221a7f0000, SID: 65, DID: 0, CID: 0, time stamp: 1251, AID: 0, The ship created
TID: 00477d221a7f0000, SID: 75, DID: 0, CID: 0, time stamp: 1266, AID: 0, The ship created
TID: 0037fd211a7f0000, SID: 40, DID: 0, CID: 0, time stamp: 1280, AID: 0, The ship created
TID: 00277d211a7f0000, SID: 87, DID: 0, CID: 0, time stamp: 1294, AID: 0, The ship created
TID: 0017fd201a7f0000, SID: 9, DID: 0, CID: 0, time stamp: 1309, AID: 0, The ship created
TID: 00077d201a7f0000, SID: 39, DID: 0, CID: 0, time stamp: 1324, AID: 0, The ship created
TID: 00f7fc1f1a7f0000, SID: 80, DID: 0, CID: 0, time stamp: 1341, AID: 0, The ship created
TID: 00e77c1f1a7f0000, SID: 14, DID: 0, CID: 0, time stamp: 1357, AID: 0, The ship created
TID: 00d7fc1e1a7f0000, SID: 78, DID: 0, CID: 0, time stamp: 1372, AID: 0, The ship created
TID: 00c77c1e1a7f0000, SID: 10, DID: 0, CID: 0, time stamp: 1388, AID: 0, The ship created
TID: 00b7fc1d1a7f0000, SID: 52, DID: 0, CID: 0, time stamp: 1403, AID: 0, The ship created
TID: 00a77c1d1a7f0000, SID: 85, DID: 0, CID: 0, time stamp: 1417, AID: 0, The ship created
TID: 0097fc1c1a7f0000, SID: 24, DID: 0, CID: 0, time stamp: 1432, AID: 0, The ship created
TID: 00877c1c1a7f0000, SID: 61, DID: 0, CID: 0, time stamp: 1449, AID: 0, The ship created
TID: 0077fc1b1a7f0000, SID: 59, DID: 0, CID: 0, time stamp: 1464, AID: 0, The ship created
TID: 00677c1b1a7f0000, SID: 79, DID: 0, CID: 0, time stamp: 1479, AID: 0, The ship created
TID: 0057fc1a1a7f0000, SID: 77, DID: 0, CID: 0, time stamp: 1494, AID: 0, The ship created
TID: 00477c1a1a7f0000, SID: 97, DID: 0, CID: 0, time stamp: 1509, AID: 0, The ship created
TID: 0037fc191a7f0000, SID: 99, DID: 0, CID: 0, time stamp: 1524, AID: 0, The ship created
TID: 00277c191a7f0000, SID: 54, DID: 0, CID: 0, time stamp: 1538, AID: 0, The ship created
TID: 0017fc181a7f0000, SID: 35, DID: 0, CID: 0, time stamp: 1555, AID: 0, The ship created
TID: 00077c181a7f0000, SID: 46, DID: 0, CID: 0, time stamp: 1575, AID: 0, The ship created
TID: 00f7fb171a7f0000, SID: 69, DID: 0, CID: 0, time stamp: 1589, AID: 0, The ship created
TID: 00e77b171a7f0000, SID: 70, DID: 0, CID: 0, time stamp: 1604, AID: 0, The ship created
TID: 00d7fb161a7f0000, SID: 71, DID: 0, CID: 0, time stamp: 1618, AID: 0, The ship created
TID: 00c77b161a7f0000, SID: 30, DID: 0, CID: 0, time stamp: 1637, AID: 0, The ship created
TID: 00b7fb151a7f0000, SID: 58, DID: 0, CID: 0, time stamp: 1651, AID: 0, The ship created
TID: 00a77b151a7f0000, SID: 8, DID: 0, CID: 0, time stamp: 1668, AID: 0, The ship created
TID: 0097fb141a7f0000, SID: 47, DID: 0, CID: 0, time stamp: 1684, AID: 0, The ship created
TID: 00877b141a7f0000, SID: 76, DID: 0, CID: 0, time stamp: 1698, AID: 0, The ship created
TID: 0077fb131a7f0000, SID: 81, DID: 0, CID: 0, time stamp: 1714, AID: 0, The ship created
TID: 00677b131a7f0000, SID: 25, DID: 0, CID: 0, time stamp: 1729, AID: 0, The ship created
TID: 0057fb121a7f0000, SID: 5, DID: 0, CID: 0, time stamp: 1744, AID: 0, The ship created
TID: 00477b121a7f0000, SID: 62, DID: 0, CID: 0, time stamp: 1760, AID: 0, The ship created
TID: 0037fb111a7f0000, SID: 34, DID: 0, CID: 0, time stamp: 1775, AID: 0, The ship created
TID: 00277b111a7f0000, SID: 1, DID: 0, CID: 0, time stamp: 1790, AID: 0, The ship created
TID: 0017fb101a7f0000, SID: 43, DID: 0, CID: 0, time stamp: 1809, AID: 0, The ship created
TID: 00077b101a7f0000, SID: 31, DID: 0, CID: 0, time stamp: 1825, AID: 0, The ship created
TID: 00f7fa0f1a7f0000, SID: 44, DID: 0, CID: 0, time stamp: 1848, AID: 0, The ship created
TID: 00e77a0f1a7f0000, SID: 83, DID: 0, CID: 0, time stamp: 1856, AID: 0, The ship created
TID: 00d7fa0e1a7f0000, SID: 13, DID: 0, CID: 0, time stamp: 1871, AID: 0, The ship created
TID: 00c77a0e1a7f0000, SID: 38, DID: 0, CID: 0, time stamp: 1889, AID: 0, The ship created
TID: 00b7fa0d1a7f0000, SID: 50, DID: 0, CID: 0, time stamp: 1905, AID: 0, The ship created
TID: 00a77a0d1a7f0000, SID: 21, DID: 0, CID: 0, time stamp: 1920, AID: 0, The ship created
TID: 0097fa0c1a7f0000, SID: 68, DID: 0, CID: 0, time stamp: 1934, AID: 0, The ship created
TID: 00877a0c1a7f0000, SID: 2, DID: 0, CID: 0, time stamp: 1950, AID: 0, The ship created
TID: 0077fa0b1a7f0000, SID: 51, DID: 0, CID: 0, time stamp: 1966, AID: 0, The ship created
TID: 00677a0b1a7f0000, SID: 86, DID: 0, CID: 0, time stamp: 1983, AID: 0, The ship created
TID: 0057fa0a1a7f0000, SID: 7, DID: 0, CID: 0, time stamp: 1998, AID: 0, The ship created
TID: 00477a0a1a7f0000, SID: 56, DID: 0, CID: 0, time stamp: 2012, AID: 0, The ship created
TID: 0037fa091a7f0000, SID: 88, DID: 0, CID: 0, time stamp: 2027, AID: 0, The ship created
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 0, time stamp: 2089, AID: 1, The ship requested permission to dock
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 0, time stamp: 2093, AID: 2, The ship docked
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 0, time stamp: 2096, AID: 5, The ship requested permission to load cargo from the dock
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 5, time stamp: 2100, AID: 6, The ship loading cargo from the dock
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 50, time stamp: 4217, AID: 6, The ship loading cargo from the dock
TID: 0047f23e1a7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5122, AID: 1, The ship requested permission to dock
TID: 0047f23e1a7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5127, AID: 2, The ship docked
TID: 0047f23e1a7f0000, SID: 0, DID: 4, CID: 0, time stamp: 5130, AID: 5, The ship requested permission to load cargo from the dock
TID: 0047f23e1a7f0000, SID: 0, DID: 4, CID: 13, time stamp: 5134, AID: 6, The ship loading cargo from the dock
TID: 0037723e1a7f0000, SID: 95, DID: 4, CID: 0, time stamp: 5138, AID: 1, The ship requested permission to dock
TID: 0037723e1a7f0000, SID: 95, DID: 4, CID: 0, time stamp: 5146, AID: 2, The ship docked
TID: 0037723e1a7f0000, SID: 95, DID: 4, CID: 0, time stamp: 5150, AID: 5, The ship requested permission to load cargo from the dock
TID: 0037723e1a7f0000, SID: 95, DID: 4, CID: 19, time stamp: 5154, AID: 6, The ship loading cargo from the dock
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 6, time stamp: 5158, AID: 6, The ship loading cargo from the dock
TID: 0027f23d1a7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6114, AID: 1, The ship requested permission to dock
TID: 0027f23d1a7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6121, AID: 2, The ship docked
TID: 0027f23d1a7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6125, AID: 5, The ship requested permission to load cargo from the dock
TID: 0027f23d1a7f0000, SID: 37, DID: 2, CID: 0, time stamp: 6129, AID: 6, The ship loading cargo from the dock
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7072, AID: 1, The ship requested permission to dock
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7076, AID: 2, The ship docked
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 0, time stamp: 7079, AID: 5, The ship requested permission to load cargo from the dock
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 8, time stamp: 7082, AID: 6, The ship loading cargo from the dock
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 53, time stamp: 7277, AID: 6, The ship loading cargo from the dock
TID: 0047f23e1a7f0000, SID: 0, DID: 4, CID: 24, time stamp: 8208, AID: 6, The ship loading cargo from the dock
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 11, time stamp: 8213, AID: 6, The ship loading cargo from the dock
TID: 0037723e1a7f0000, SID: 95, DID: 4, CID: 27, time stamp: 8248, AID: 6, The ship loading cargo from the dock
TID: 0007f23c1a7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9080, AID: 1, The ship requested permission to dock
TID: 0007f23c1a7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9088, AID: 2, The ship docked
TID: 0007f23c1a7f0000, SID: 22, DID: 2, CID: 0, time stamp: 9096, AID: 5, The ship requested permission to load cargo from the dock
TID: 0007f23c1a7f0000, SID: 22, DID: 2, CID: 26, time stamp: 9104, AID: 6, The ship loading cargo from the dock
TID: 00e77f371a7f0000, SID: 90, DID: 4, CID: 0, time stamp: 9080, AID: 1, The ship requested permission to dock
TID: 00e77f371a7f0000, SID: 90, DID: 4, CID: 0, time stamp: 9119, AID: 2, The ship docked
TID: 00e77f371a7f0000, SID: 90, DID: 4, CID: 0, time stamp: 9122, AID: 5, The ship requested permission to load cargo from the dock
TID: 00e77f371a7f0000, SID: 90, DID: 4, CID: 35, time stamp: 9125, AID: 6, The ship loading cargo from the dock
TID: 00f7ff371a7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9147, AID: 1, The ship requested permission to dock
TID: 00f7ff371a7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9155, AID: 2, The ship docked
TID: 00f7ff371a7f0000, SID: 33, DID: 3, CID: 0, time stamp: 9159, AID: 5, The ship requested permission to load cargo from the dock
TID: 00f7ff371a7f0000, SID: 33, DID: 3, CID: 4, time stamp: 9163, AID: 6, The ship loading cargo from the dock
TID: 0027f23d1a7f0000, SID: 37, DID: 2, CID: 1, time stamp: 9203, AID: 6, The ship loading cargo from the dock
TID: 00d7ff361a7f0000, SID: 92, DID: 3, CID: 0, time stamp: 10062, AID: 1, The ship requested permission to dock
TID: 00d7ff361a7f0000, SID: 92, DID: 3, CID: 0, time stamp: 10065, AID: 2, The ship docked
TID: 00d7ff361a7f0000, SID: 92, DID: 3, CID: 0, time stamp: 10067, AID: 5, The ship requested permission to load cargo from the dock
TID: 00d7ff361a7f0000, SID: 92, DID: 3, CID: 22, time stamp: 10070, AID: 6, The ship loading cargo from the dock
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 14, time stamp: 10137, AID: 6, The ship loading cargo from the dock
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 63, time stamp: 10377, AID: 6, The ship loading cargo from the dock
TID: 00b7ff351a7f0000, SID: 64, DID: 1, CID: 0, time stamp: 11145, AID: 1, The ship requested permission to dock
TID: 00b7ff351a7f0000, SID: 64, DID: 1, CID: 0, time stamp: 11160, AID: 2, The ship docked
TID: 00b7ff351a7f0000, SID: 64, DID: 1, CID: 0, time stamp: 11169, AID: 5, The ship requested permission to load cargo from the dock
TID: 00b7ff351a7f0000, SID: 64, DID: 1, CID: 10, time stamp: 11180, AID: 6, The ship loading cargo from the dock
TID: 00c77f361a7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11148, AID: 1, The ship requested permission to dock
TID: 00c77f361a7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11198, AID: 2, The ship docked
TID: 00c77f361a7f0000, SID: 23, DID: 1, CID: 0, time stamp: 11203, AID: 5, The ship requested permission to load cargo from the dock
TID: 00c77f361a7f0000, SID: 23, DID: 1, CID: 17, time stamp: 11209, AID: 6, The ship loading cargo from the dock
TID: 00a77f351a7f0000, SID: 73, DID: 4, CID: 0, time stamp: 11163, AID: 1, The ship requested permission to dock
TID: 00a77f351a7f0000, SID: 73, DID: 4, CID: 0, time stamp: 11224, AID: 2, The ship docked
TID: 00a77f351a7f0000, SID: 73, DID: 4, CID: 0, time stamp: 11229, AID: 5, The ship requested permission to load cargo from the dock
TID: 00a77f351a7f0000, SID: 73, DID: 4, CID: 56, time stamp: 11233, AID: 6, The ship loading cargo from the dock
TID: 0047f23e1a7f0000, SID: 0, DID: 4, CID: 60, time stamp: 11265, AID: 6, The ship loading cargo from the dock
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 20, time stamp: 11270, AID: 6, The ship loading cargo from the dock
TID: 0037723e1a7f0000, SID: 95, DID: 4, CID: 28, time stamp: 11341, AID: 6, The ship loading cargo from the dock
TID: 0097ff341a7f0000, SID: 55, DID: 0, CID: 0, time stamp: 12066, AID: 1, The ship requested permission to dock
TID: 0097ff341a7f0000, SID: 55, DID: 0, CID: 0, time stamp: 12069, AID: 2, The ship docked
TID: 0097ff341a7f0000, SID: 55, DID: 0, CID: 0, time stamp: 12090, AID: 5, The ship requested permission to load cargo from the dock
TID: 0097ff341a7f0000, SID: 55, DID: 0, CID: 37, time stamp: 12093, AID: 6, The ship loading cargo from the dock
TID: 0007f23c1a7f0000, SID: 22, DID: 2, CID: 73, time stamp: 12160, AID: 6, The ship loading cargo from the dock
TID: 00e77f371a7f0000, SID: 90, DID: 4, CID: 74, time stamp: 12182, AID: 6, The ship loading cargo from the dock
TID: 00f7ff371a7f0000, SID: 33, DID: 3, CID: 7, time stamp: 12219, AID: 6, The ship loading cargo from the dock
TID: 0027f23d1a7f0000, SID: 37, DID: 2, CID: 2, time stamp: 12294, AID: 6, The ship loading cargo from the dock
TID: 00877f341a7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13096, AID: 1, The ship requested permission to dock
TID: 00877f341a7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13105, AID: 2, The ship docked
TID: 00877f341a7f0000, SID: 19, DID: 2, CID: 0, time stamp: 13112, AID: 5, The ship requested permission to load cargo from the dock
TID: 0077ff331a7f0000, SID: 49, DID: 4, CID: 0, time stamp: 13097, AID: 1, The ship requested permission to dock
TID: 00d7ff361a7f0000, SID: 92, DID: 3, CID: 29, time stamp: 13128, AID: 6, The ship loading cargo from the dock
TID: 0077ff331a7f0000, SID: 49, DID: 4, CID: 0, time stamp: 13129, AID: 2, The ship docked
TID: 0077ff331a7f0000, SID: 49, DID: 4, CID: 0, time stamp: 13144, AID: 5, The ship requested permission to load cargo from the dock
TID: 0077ff331a7f0000, SID: 49, DID: 4, CID: 47, time stamp: 13151, AID: 6, The ship loading cargo from the dock
TID: 00877f341a7f0000, SID: 19, DID: 2, CID: 82, time stamp: 13125, AID: 6, The ship loading cargo from the dock
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 43, time stamp: 13192, AID: 6, The ship loading cargo from the dock
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 65, time stamp: 13434, AID: 6, The ship loading cargo from the dock
TID: 00b7ff351a7f0000, SID: 64, DID: 1, CID: 23, time stamp: 14237, AID: 6, The ship loading cargo from the dock
TID: 00c77f361a7f0000, SID: 23, DID: 1, CID: 25, time stamp: 14265, AID: 6, The ship loading cargo from the dock
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 38, time stamp: 14325, AID: 6, The ship loading cargo from the dock
TID: 00a77f351a7f0000, SID: 73, DID: 4, CID: 86, time stamp: 14325, AID: 6, The ship loading cargo from the dock
TID: 0047f23e1a7f0000, SID: 0, DID: 4, CID: 112, time stamp: 14352, AID: 6, The ship loading cargo from the dock
TID: 0037723e1a7f0000, SID: 95, DID: 4, CID: 58, time stamp: 14401, AID: 6, The ship loading cargo from the dock
TID: 0097ff341a7f0000, SID: 55, DID: 0, CID: 52, time stamp: 15166, AID: 6, The ship loading cargo from the dock
TID: 0007f23c1a7f0000, SID: 22, DID: 2, CID: 85, time stamp: 15216, AID: 6, The ship loading cargo from the dock
TID: 00e77f371a7f0000, SID: 90, DID: 4, CID: 119, time stamp: 15240, AID: 6, The ship loading cargo from the dock
TID: 00f7ff371a7f0000, SID: 33, DID: 3, CID: 18, time stamp: 15312, AID: 6, The ship loading cargo from the dock
TID: 0027f23d1a7f0000, SID: 37, DID: 2, CID: 9, time stamp: 15386, AID: 6, The ship loading cargo from the dock
TID: 00677f331a7f0000, SID: 48, DID: 1, CID: 0, time stamp: 16118, AID: 1, The ship requested permission to dock
TID: 00677f331a7f0000, SID: 48, DID: 1, CID: 0, time stamp: 16126, AID: 2, The ship docked
TID: 00677f331a7f0000, SID: 48, DID: 1, CID: 0, time stamp: 16130, AID: 5, The ship requested permission to load cargo from the dock
TID: 00677f331a7f0000, SID: 48, DID: 1, CID: 3, time stamp: 16134, AID: 6, The ship loading cargo from the dock
TID: 00877f341a7f0000, SID: 19, DID: 2, CID: 101, time stamp: 16182, AID: 6, The ship loading cargo from the dock
TID: 0077ff331a7f0000, SID: 49, DID: 4, CID: 67, time stamp: 16214, AID: 6, The ship loading cargo from the dock
TID: 00d7ff361a7f0000, SID: 92, DID: 3, CID: 72, time stamp: 16221, AID: 6, The ship loading cargo from the dock
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 59, time stamp: 16248, AID: 6, The ship loading cargo from the dock
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 151, time stamp: 16507, AID: 6, The ship loading cargo from the dock
TID: 0057ff321a7f0000, SID: 72, DID: 0, CID: 0, time stamp: 17129, AID: 1, The ship requested permission to dock
TID: 0057ff321a7f0000, SID: 72, DID: 0, CID: 0, time stamp: 17143, AID: 2, The ship docked
TID: 0057ff321a7f0000, SID: 72, DID: 0, CID: 0, time stamp: 17154, AID: 5, The ship requested permission to load cargo from the dock
TID: 0057ff321a7f0000, SID: 72, DID: 0, CID: 87, time stamp: 17164, AID: 6, The ship loading cargo from the dock
TID: 0037ff311a7f0000, SID: 94, DID: 1, CID: 0, time stamp: 17157, AID: 1, The ship requested permission to dock
TID: 0037ff311a7f0000, SID: 94, DID: 1, CID: 0, time stamp: 17189, AID: 2, The ship docked
TID: 0037ff311a7f0000, SID: 94, DID: 1, CID: 0, time stamp: 17196, AID: 5, The ship requested permission to load cargo from the dock
TID: 0037ff311a7f0000, SID: 94, DID: 1, CID: 12, time stamp: 17203, AID: 6, The ship loading cargo from the dock
TID: 00477f321a7f0000, SID: 74, DID: 2, CID: 0, time stamp: 17131, AID: 1, The ship requested permission to dock
TID: 00477f321a7f0000, SID: 74, DID: 2, CID: 0, time stamp: 17216, AID: 2, The ship docked
TID: 00477f321a7f0000, SID: 74, DID: 2, CID: 0, time stamp: 17232, AID: 5, The ship requested permission to load cargo from the dock
TID: 00477f321a7f0000, SID: 74, DID: 2, CID: 15, time stamp: 17235, AID: 6, The ship loading cargo from the dock
TID: 00b7ff351a7f0000, SID: 64, DID: 1, CID: 40, time stamp: 17293, AID: 6, The ship loading cargo from the dock
TID: 00c77f361a7f0000, SID: 23, DID: 1, CID: 34, time stamp: 17320, AID: 6, The ship loading cargo from the dock
TID: 0057723f1a7f0000, SID: 84, DID: 0, CID: 64, time stamp: 17380, AID: 6, The ship loading cargo from the dock
TID: 00a77f351a7f0000, SID: 73, DID: 4, CID: 118, time stamp: 17383, AID: 6, The ship loading cargo from the dock
TID: 0047f23e1a7f0000, SID: 0, DID: 4, CID: 125, time stamp: 17456, AID: 6, The ship loading cargo from the dock
TID: 0037723e1a7f0000, SID: 95, DID: 4, CID: 91, time stamp: 17471, AID: 6, The ship loading cargo from the dock
TID: 00277f311a7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18065, AID: 1, The ship requested permission to dock
TID: 00277f311a7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18068, AID: 2, The ship docked
TID: 00277f311a7f0000, SID: 15, DID: 1, CID: 0, time stamp: 18070, AID: 5, The ship requested permission to load cargo from the dock
TID: 00277f311a7f0000, SID: 15, DID: 1, CID: 39, time stamp: 18074, AID: 6, The ship loading cargo from the dock
TID: 0097ff341a7f0000, SID: 55, DID: 0, CID: 69, time stamp: 18224, AID: 6, The ship loading cargo from the dock
TID: 0007f23c1a7f0000, SID: 22, DID: 2, CID: 116, time stamp: 18253, AID: 6, The ship loading cargo from the dock
TID: 00e77f371a7f0000, SID: 90, DID: 4, CID: 134, time stamp: 18296, AID: 6, The ship loading cargo from the dock
TID: 00f7ff371a7f0000, SID: 33, DID: 3, CID: 31, time stamp: 18384, AID: 6, The ship loading cargo from the dock
TID: 0027f23d1a7f0000, SID: 37, DID: 2, CID: 16, time stamp: 18475, AID: 6, The ship loading cargo from the dock
TID: 0017ff301a7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19116, AID: 1, The ship requested permission to dock
TID: 0017ff301a7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19124, AID: 2, The ship docked
TID: 0017ff301a7f0000, SID: 6, DID: 4, CID: 0, time stamp: 19128, AID: 5, The ship requested permission to load cargo from the dock
TID: 0017ff301a7f0000, SID: 6, DID: 4, CID: 96, time stamp: 19132, AID: 6, The ship loading cargo from the dock
TID: 00677f331a7f0000, SID: 48, DID: 1, CID: 30, time stamp: 19202, AID: 6, The ship loading cargo from the dock
TID: 00877f341a7f0000, SID: 19, DID: 2, CID: 123, time stamp: 19230, AID: 6, The ship loading cargo from the dock
TID: 0077ff331a7f0000, SID: 49, DID: 4, CID: 98, time stamp: 19271, AID: 6, The ship loading cargo from the dock
TID: 00d7ff361a7f0000, SID: 92, DID: 3, CID: 79, time stamp: 19282, AID: 6, The ship loading cargo from the dock
TID: 0017723d1a7f0000, SID: 17, DID: 0, CID: 71, time stamp: 19304, AID: 6, The ship loading cargo from the dock
TID: 0067f23f1a7f0000, SID: 28, DID: 4, CID: 208, time stamp: 19564, AID: 6, The ship loading cargo from the dock
TID: 0057ff321a7f0000, SID: 72, DID: 0, CID: 104, time stamp: 20258, AID: 6, The ship loading cargo from the dock
TID: 00477f321a7f0000, SID: 74, DID: 2, CID: 33, time stamp: 20303, AID: 6, The ship loading cargo from the dock
